Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,,01/07/2022,04/04/1972
2,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,,30/06/2019,01/10/1984
3,HEO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2021,28/10/1991
4,SEO+,Durham,Human Resources,1233,HR Operations,Employee,Permanent,,0.459,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,11/10/1971
5,AA,Plymouth,Operations,725,Land Charges,Employee,Permanent,,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2021,05/11/1973
6,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,16/10/1972
7,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2021,01/01/1973
8,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.6,Payroll,Retirement,Retirement (Age) Above Min Age,28/06/2019,01/12/1976
9,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/10/2018,04/12/1972
10,SEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2018,10/09/1973
11,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) At Min Age,29/03/2022,17/09/1973
12,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Death,Death in Service,09/09/2018,21/08/1973
13,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) At Min Age,30/05/2019,06/10/1975
14,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Retirement (Age) At Min Age,05/05/2018,09/09/1974
15,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) At Min Age,27/03/2020,28/10/1974
16,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,,27/12/2019,10/03/1975
17,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Resignation,Resignation,27/11/2019,02/10/1989
18,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2022,16/06/1975
19,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,12/06/2018,04/08/1975
20,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.45,Payroll,Retirement,Retirement (Age) Above Min Age,15/11/2019,04/11/1974
21,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2023,08/09/1975
22,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.53,Payroll,Retirement,Approved Early Retirement(AER),30/04/2020,22/09/1975
23,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,26/09/1988
24,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2022,13/10/1975
25,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,,31/12/2019,27/10/1975
26,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,03/07/2019,11/01/1988
27,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,30/12/2022,02/02/1976
28,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,28/01/1985
29,SEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Resignation,Resignation,31/08/2020,01/03/1976
30,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Resignation,,30/09/2022,12/07/1976
31,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,02/05/2018,10/10/1977
32,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2022,16/08/1976
33,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,28/06/1976
34,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) At Min Age,22/11/2022,27/08/1974
35,SEO+,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Actuarially Reduced Retirement,30/04/2019,14/03/1977
36,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.459,Payroll,Retirement,Retirement (Age) Above Min Age,01/06/2021,28/03/1977
37,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.446,Payroll,Retirement,Retirement (Age) At Min Age,06/01/2023,18/10/1976
38,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,29/07/2022,01/11/1976
39,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2022,10/02/1975
40,SEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,29/04/2022,26/09/1977
41,Grade 7 Lawyers,Swansea,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,29/04/2021,30/03/1977
42,SEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Resignation,Resignation,03/06/2018,25/07/1977
43,SEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.76,Payroll,Retirement,,31/07/2019,21/03/1977
44,SEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,18/01/2019,28/03/1977
45,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) At Min Age,01/04/2020,18/04/1977
46,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Retirement (Age) At Min Age,28/02/2019,21/03/1977
47,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/08/2018,02/05/1977
48,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,06/11/2018,03/05/1988
49,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,27/04/2018,16/01/1978
50,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2020,20/06/1977
51,SEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,29/04/2020,11/07/1977
52,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2018,05/09/1977
53,SEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,31/03/2019,12/09/1977
54,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,30/12/2022,12/09/1977
55,AO,Nottingham,Human Resources,1233,HR Operations,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2022,03/01/1978
56,Grade 7,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.92,Payroll,Retirement,Actuarially Reduced Retirement,31/01/2020,10/10/1977
57,SEO+,Peterborough,DDat,1893,Service Management-Casework Improvements,Employee,Permanent,,0.649,Payroll,Retirement,Actuarially Reduced Retirement,30/04/2019,17/10/1977
58,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Retirement (Age) At Min Age,19/12/2018,19/10/1977
59,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,09/08/2022,24/10/1977
60,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2020,07/11/1977
61,Grade 7,Croydon,Transformation,1940,Local Land Charges,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,05/01/2019,15/08/1977
62,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2021,31/10/1977
63,HEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,0.45,Payroll,Retirement,Actuarially Reduced Retirement,30/06/2018,05/12/1977
64,SEO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,31/05/2022,13/02/1978
65,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Resignation,Resignation,16/11/2018,16/01/1978
66,SEO+,Telford,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2018,02/05/1978
67,EO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2018,20/03/1978
68,SEO,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,Partial retirement,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,30/11/2022,20/03/1978
69,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2022,20/03/1978
70,Grade 7,Hull,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2020,07/08/1978
71,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2021,02/01/1979
72,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2021,24/07/1978
73,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.568,Payroll,Retirement,Retirement (Age) Above Min Age,03/08/2022,19/06/1978
74,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Retirement,Retirement (Age) Above Min Age,29/04/2022,19/06/1978
75,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.54,Payroll,Termination,Dismiss Ineff Attend (comp),05/12/2019,26/06/1978
76,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) At Min Age,05/05/2020,24/07/1978
77,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.59,Payroll,Retirement,Retirement (Age) Above Min Age,11/11/2018,08/09/1986
78,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.446,Payroll,Retirement,Retirement (Age) At Min Age,31/01/2021,17/07/1978
79,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,28/10/2022,28/06/1982
80,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.757,Payroll,Retirement,Retirement (Age) Above Min Age,09/06/2022,01/07/1985
81,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.86,Payroll,Retirement,Actuarially Reduced Retirement,22/06/2020,07/08/1978
82,SEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.459,Payroll,Retirement,Retirement (Age) Above Min Age,30/07/2022,17/07/1978
83,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.432,Payroll,Retirement,,30/11/2021,06/11/1978
84,Grade 7,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2018,04/12/1978
85,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.446,Payroll,Retirement,Retirement (Age) Above Min Age,24/11/2021,06/11/1978
86,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,21/10/2019,05/02/1979
87,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Approved Early Retirement(AER),31/05/2020,05/02/1979
88,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,09/10/1978
89,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/11/2018,16/10/1978
90,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,,30/07/2021,19/03/1979
91,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.49,Payroll,Retirement,Actuarially Reduced Retirement,31/08/2020,02/04/1979
92,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2021,24/09/1979
93,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,,31/07/2020,19/03/1979
94,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Retirement,Retirement (Age) At Min Age,06/06/2022,19/03/1979
95,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Retirement (Age) At Min Age,31/12/2020,26/03/1979
96,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),30/09/2020,19/03/1979
97,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,01/07/2022,29/05/1979
98,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Retirement (Age) At Min Age,04/11/2019,03/12/1979
99,HEO,Weymouth,Operations,1420,Customer Resolution Team,Employee,Permanent,Partial retirement,0.595,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2022,09/04/1979
100,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,0.69,Payroll,Retirement,Retirement (Age) At Min Age,04/06/2021,30/07/1979
101,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Medical,30/04/2022,18/06/1979
102,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/10/2019,03/09/1979
103,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.86,Payroll,Retirement,Medical,15/10/2018,04/06/1979
104,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,30/04/2022,01/08/1979
105,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.527,Payroll,Retirement,Retirement (Age) Above Min Age,25/02/2022,19/11/1979
106,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Partial retirement,0.46,Payroll,Resignation,Voluntary Exit Pension,31/03/2020,17/12/1979
107,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.541,Payroll,Retirement,Retirement (Age) Above Min Age,31/12/2021,21/01/1980
108,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.45,Payroll,Retirement,,31/05/2020,08/10/1979
109,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,05/03/2022,05/11/1979
110,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,,31/08/2020,08/10/1979
111,AO,Plymouth,Operations,725,Land Charges,Employee,Permanent,,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2021,22/07/1985
112,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.568,Payroll,Retirement,Retirement (Age) Above Min Age,30/10/2020,10/12/1979
113,EO,Telford,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,,0.649,Payroll,Retirement,,26/06/2020,12/11/1979
114,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,,30/07/2021,03/12/1979
115,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,,31/12/2021,14/03/1988
116,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),30/06/2021,03/12/1979
117,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2021,19/11/1979
118,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,08/04/2022,02/01/1980
119,SEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,30/09/2020,10/12/1979
120,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.45,Payroll,Retirement,Approved Early Retirement(AER),31/05/2021,07/01/1980
121,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,22/01/2019,04/02/1980
122,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2019,17/03/1980
123,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,30/10/2020,11/07/1988
124,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.608,Payroll,Retirement,Approved Early Retirement(AER),29/07/2022,28/04/1980
125,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Actuarially Reduced Retirement,10/05/2018,28/04/1980
126,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,13/09/2022,17/03/1980
127,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,19/01/2020,17/03/1980
128,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Retirement,Approved Early Retirement(AER),31/03/2022,07/09/1981
129,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.45,Payroll,Retirement,Medical,31/05/2018,21/09/1981
130,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Involuntary Termination,Dismissal,23/06/2021,27/06/1983
131,SEO,Croydon,DDat,1817,IT Solutions,Employee,Permanent,,0.83,Payroll,Resignation,,31/03/2019,12/01/1981
132,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.43,Payroll,Retirement,Retirement (Age) At Min Age,31/07/2019,06/05/1980
133,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.68,Payroll,Retirement,Approved Early Retirement(AER),31/05/2019,13/10/1980
134,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.86,Payroll,Retirement,Retirement (Age) At Min Age,16/10/2020,13/10/1980
135,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),31/12/2018,17/11/1980
136,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/07/2018,17/11/1980
137,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Actuarially Reduced Retirement,30/04/2018,06/04/1981
138,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.527,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,01/06/1981
139,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,10/05/2018,03/08/1981
140,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.865,Payroll,Retirement,Retirement (Age) Above Min Age,30/04/2022,22/06/1981
141,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.7,Payroll,Retirement,Actuarially Reduced Retirement,30/11/2018,02/11/1981
142,SEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Actuarially Reduced Retirement,01/05/2019,17/05/1982
143,SEO+,Plymouth,Customer & Strategy Group,1830,DDAT Digital Product,Employee,Permanent,,1,Payroll,Resignation,Resignation,12/11/2021,05/04/1982
144,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),30/11/2022,05/04/1982
145,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Retirement,Medical,31/10/2022,05/04/1982
146,AO,Plymouth,Operations,725,Land Charges,Employee,Permanent,,0.5,Payroll,Retirement,Medical,01/04/2021,03/05/1983
147,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,20/07/2022,07/09/1981
148,SEO,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/01/2021,27/06/1983
149,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,0.44,Payroll,Retirement,Approved Early Retirement(AER),23/08/2019,16/11/1981
150,Grade 7,Plymouth,DDat,1855,DDAT Delivery,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,24/07/2022,01/02/1982
151,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Termination,Dismiss Ineff Attend (comp),17/06/2018,05/04/1982
152,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.865,Payroll,Resignation,Resignation,31/12/2021,26/07/1982
153,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.76,Payroll,Death,Death in Service,08/05/2020,05/07/1982
154,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,02/03/2022,01/02/1982
155,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.76,Payroll,Resignation,Resignation,17/01/2020,01/03/1983
156,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/12/2021,19/12/1983
157,EO,Birkenhead,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,,0.81,Payroll,Retirement,,31/10/2019,14/06/1982
158,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,02/10/2021,14/06/1982
159,SEO,Birkenhead,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) At Min Age,31/03/2021,20/06/1983
160,SEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),30/06/2022,31/05/1983
161,HEO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.865,Payroll,Retirement,Retirement (Age) Above Min Age,04/02/2022,01/06/1982
162,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Part-time regular,0.541,Payroll,Retirement,Retirement (Age) Above Min Age,01/03/2023,01/06/1982
163,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Death,Death in Service,31/05/2020,01/06/1982
164,Grade 7,Croydon,Operations,1445,Central Operations,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2022,07/06/1982
165,HEO,Plymouth,DDat,1827,DDAT Service Management,Employee,Permanent,,0.811,Payroll,Death,Death in Service,29/07/2021,07/03/1983
166,HEO,Coventry,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/05/2020,12/07/1982
167,SEO+,Croydon,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,Partial retirement,0.5,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,09/08/1982
168,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Involuntary Termination,Dismissal,27/11/2019,06/12/1982
169,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/06/2018,21/02/1983
170,SEO,Plymouth,Customer & Strategy Group,7510,Account Management,Employee,Permanent,,0.68,Payroll,Resignation,Resignation,31/08/2019,28/06/1982
171,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.432,Payroll,Resignation,Resignation,31/03/2023,28/06/1982
172,SEO+,Plymouth,Human Resources,1233,HR Operations,Employee,Permanent,,0.81,Payroll,Retirement,Actuarially Reduced Retirement,31/03/2020,16/08/1982
173,HEO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Medical,31/03/2023,03/05/1983
174,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.541,Payroll,Resignation,Resignation,03/06/2022,25/10/1982
175,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,,Payroll,Retirement,Retirement (Age) Above Min Age,08/03/2023,07/03/1983
176,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.57,Payroll,Termination,Dismiss Ineff Attend (comp),30/09/2018,20/12/1982
177,EO,Gloucester,Operations,1420,Customer Resolution Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,29/04/2022,03/05/1983
178,SEO,Gloucester,Customer & Strategy Group,7510,Account Management,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/01/2020,03/05/1983
179,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.43,Payroll,Retirement,Actuarially Reduced Retirement,30/06/2019,04/10/1982
180,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.76,Payroll,Retirement,Actuarially Reduced Retirement,12/06/2020,13/06/1983
