Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1555,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,25/03/2022,25/01/2021
1556,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,31/01/2022,25/01/2021
1557,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/08/2021,25/01/2021
1558,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/08/2021,25/01/2021
1559,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,27/06/2021,25/01/2021
1560,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.446,Payroll,Resignation,Resignation,25/06/2022,25/01/2021
1561,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,21/12/2022,25/01/2021
1562,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,08/02/2021,25/01/2021
1563,AO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,On Progression,0.811,Payroll,Resignation,Resignation,26/07/2021,25/01/2021
1564,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/03/2023,25/01/2021
1565,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,14/04/2022,25/01/2021
1566,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/09/2022,25/01/2021
1567,EO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,24/03/2023,25/01/2021
1568,AO,Hull,Operations,1473,Volume Register Updates (VRU),Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,26/02/2023,25/01/2021
1569,EO,Birkenhead,DDat,1865,DDAT Software Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,20/03/2023,01/02/2021
1570,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,31/10/2022,25/01/2021
1571,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,25/01/2021,25/01/2021
1572,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,06/01/2023,25/01/2021
1573,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/02/2022,25/01/2021
1574,AO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,02/10/2022,25/01/2021
1575,EO,Nottingham,DDat,1865,DDAT Software Development,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/10/2021,01/02/2021
1576,HEO,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/05/2021,01/02/2021
1577,EO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,22/05/2022,25/01/2021
1578,EO,Plymouth,DDat,1865,DDAT Software Development,Employee,Permanent,Part-time regular,0.689,Payroll,Resignation,Resignation,02/03/2023,01/02/2021
1579,HEO,Croydon,FBS,1370,Commercial,Employee,Permanent,Part-time regular,0.649,Payroll,Resignation,Resignation,21/02/2023,26/01/2021
1580,SEO,Durham,Transformation,7525,Business Change,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,08/01/2023,22/02/2021
1581,EO,Plymouth,Customer & Strategy Group,1840,DDAT Data Management & Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/01/2022,01/02/2021
1582,EO,Croydon,Customer & Strategy Group,1840,DDAT Data Management & Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,07/02/2022,01/02/2021
1583,SEO+,Croydon,Customer & Strategy Group,7542,Policy Co-ordination,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,20/11/2022,25/01/2021
1584,HEO,Leicester,DDat,1865,DDAT Software Development,Employee,Permanent,,1,Payroll,Resignation,,02/07/2021,15/02/2021
1585,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,19/07/2021,01/03/2021
